cafe_name,점수_심미성,리뷰수_심미성,점수_형태성,리뷰수_형태성,점수_감각적 경험,리뷰수_감각적 경험,점수_접근성,리뷰수_접근성,점수_쾌적성,리뷰수_쾌적성,점수_활동성,리뷰수_활동성,점수_사회성,리뷰수_사회성,점수_참여성,리뷰수_참여성,점수_고유성,리뷰수_고유성,점수_기억/경험,리뷰수_기억/경험,점수_지역 정체성,리뷰수_지역 정체성,점수_심미성_calc,리뷰수_심미성_calc,점수_형태성_calc,리뷰수_형태성_calc,점수_감각적 경험_calc,리뷰수_감각적 경험_calc,점수_접근성_calc,리뷰수_접근성_calc,점수_쾌적성_calc,리뷰수_쾌적성_calc,점수_활동성_calc,리뷰수_활동성_calc,점수_사회성_calc,리뷰수_사회성_calc,점수_참여성_calc,리뷰수_참여성_calc,점수_고유성_calc,리뷰수_고유성_calc,점수_기억/경험_calc,리뷰수_기억/경험_calc,점수_지역 정체성_calc,리뷰수_지역 정체성_calc,Wi_심미성,Wi_형태성,Wi_감각적 경험,Wi_접근성,Wi_쾌적성,Wi_활동성,Wi_사회성,Wi_참여성,Wi_고유성,Wi_기억/경험,Wi_지역 정체성,종합_장소성_점수_Mu,요인_점수_표준편차_Sigma,강점_요인(+df+),약점_요인(-df-),Final_PlaceScore_Summary
101스트릿노블레르점 강서구 염창동,0.6909223794937134,1,0.6909223794937134,1,0.8312382996082306,1,0.5,0,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.8312382996082306,1,0.5,0,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.7036783722313968,0.0682681566924487,감각적 경험,,"[0.704 ± 0.068, +1, -0]"
101커피컨테이너 서초구 양재2동,0.5,0,0.5,0,0.5,0,0.5,0,0.1550123691558838,1,0.1550123691558838,1,0.1550123691558838,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.1550123691558838,1,0.1550123691558838,1,0.1550123691558838,1,0.5,0,0.5,0,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.1550123691558838,0.1493840261512063,,,"[0.155 ± 0.149, +0, -0]"
10꼬르소꼬모카페 중구 소공동,0.9403549879789352,6,0.9454004764556884,2,0.9560014009475708,6,0.9331743121147156,5,0.8392549157142639,8,0.8249411235253016,6,0.8899003863334656,4,0.7319874465465546,2,0.9569543302059174,2,0.9518444240093232,7,0.9408419380585352,6,0.9403549879789352,6,0.9454004764556884,2,0.9560014009475708,6,0.9331743121147156,5,0.8392549157142639,8,0.8249411235253016,6,0.8899003863334656,4,0.7319874465465546,2,0.9569543302059174,2,0.9518444240093232,7,0.9408419380585352,6,0.1034482758620689,0.0344827586206896,0.1034482758620689,0.0862068965517241,0.1379310344827586,0.1034482758620689,0.0689655172413793,0.0344827586206896,0.0344827586206896,0.1206896551724138,0.1034482758620689,0.9076530142077084,0.0679288742173404,,"쾌적성, 활동성, 참여성","[0.908 ± 0.068, +0, -3]"
121호 성동구 왕십리도선동,0.9686654806137084,1,0.9686654806137084,1,0.5,0,0.9686654806137084,1,0.9686654806137084,1,0.9686654806137084,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.9686654806137084,1,0.9686654806137084,1,0.5,0,0.9686654806137084,1,0.9686654806137084,1,0.9686654806137084,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.9686654806137084,0.2310551979079521,,,"[0.969 ± 0.231, +0, -0]"
13포레스트 동작구 상도3동,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"[0.000 ± 0.000, +0, -0]"
237플랫폼카페 성북구 정릉2동,0.8909923434257507,6,0.9168838461240132,3,0.8855381480285099,7,0.8746984720230102,5,0.851552759055738,9,0.8687393632200028,6,0.9375962565342584,4,0.9012124041716256,3,0.5,0,0.8646737933158875,3,0.9704464475313822,3,0.8909923434257507,6,0.9168838461240132,3,0.8855381480285099,7,0.8746984720230102,5,0.851552759055738,9,0.8687393632200028,6,0.9375962565342584,4,0.9012124041716256,3,0.5,0,0.8646737933158875,3,0.9704464475313822,3,0.12,0.06,0.14,0.1,0.18,0.12,0.08,0.06,0.0,0.06,0.06,0.8895033770799635,0.1175809891470586,"지역 정체성, 문화적 맥락",,"[0.890 ± 0.118, +2, -0]"
24시만화카페 관악구 신림동,0.9351650476455688,1,0.5,0,0.5,0,0.5,0,0.9413674175739288,2,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.9351650476455688,1,0.5,0,0.5,0,0.5,0,0.9413674175739288,2,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.939299960931142,0.1633370881642219,,,"[0.939 ± 0.163, +0, -0]"
24시무인까페만월경서리풀점 서초구 방배3동,0.957870990037918,2,0.1430707573890686,1,0.8830370235032049,29,0.6588399827480316,10,0.7381269931793213,7,0.9725346267223358,2,0.6827042996883392,4,0.5,0,0.914809376001358,2,0.8463568052519923,23,0.6650806750570025,7,0.957870990037918,2,0.1430707573890686,1,0.8830370235032049,29,0.6588399827480316,10,0.7381269931793213,7,0.9725346267223358,2,0.6827042996883392,4,0.5,0,0.914809376001358,2,0.8463568052519923,23,0.6650806750570025,7,0.0227272727272727,0.0113636363636363,0.3295454545454545,0.1136363636363636,0.0795454545454545,0.0227272727272727,0.0454545454545454,0.0,0.0227272727272727,0.2613636363636363,0.0795454545454545,0.8063739788803187,0.2277929217386281,"심미성, 감각적 경험, 활동성, 고유성, 문화적 맥락","형태성, 접근성, 쾌적성, 사회성, 지역 정체성","[0.806 ± 0.228, +5, -5]"
24시무인셀프카페 양천구 목4동,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.9702818989753724,1,0.9702818989753724,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.9702818989753724,1,0.9702818989753724,1,0.5,0,0.5,0,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9702818989753724,0.1752637157827702,,,"[0.970 ± 0.175, +0, -0]"
24시무인카페만월경 강동구 길동,0.9740042686462402,1,0.5,0,0.9740042686462402,1,0.5,0,0.932964046796163,3,0.5,0,0.5,0,0.5,0,0.5,0,0.9742163121700288,1,0.9740042686462402,1,0.9740042686462402,1,0.5,0,0.9740042686462402,1,0.5,0,0.932964046796163,3,0.5,0,0.5,0,0.5,0,0.5,0,0.9742163121700288,1,0.9740042686462402,1,0.1428571428571428,0.0,0.1428571428571428,0.0,0.4285714285714285,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.956445894071034,0.2299065117989707,,,"[0.956 ± 0.230, +0, -0]"
