상호명,상권업종소분류명,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번주소,도로명주소,층정보,경도,위도,nearest_station,transit_type,walk_time_minutes,walk_distance_m,straight_distance_m
가마쿠라도산점,빵/도넛,강남구,11680545,압구정동,1168010700,신사동,서울특별시 강남구 신사동 657-16,서울특별시 강남구 선릉로155길 28,1,127.0374229,37.52582475,한양아파트.압구정로데오역,버스정류장,6.0,404.0468987878315,288.6049277055939
강남주막다방,카페,강남구,11680510,신사동,1168010700,신사동,서울특별시 강남구 신사동 541-9,서울특별시 강남구 가로수길 16,1,127.0233589,37.51901679,신사역6번출구,버스정류장,8.1,542.8309211388253,387.73637224201804
고센뷰티&커스텀커피&더뷰도산도산점,카페,강남구,11680545,압구정동,1168010700,신사동,서울특별시 강남구 신사동 634-9,서울특별시 강남구 언주로168길 6-9,,127.0340517,37.52587082,압구정파출소,버스정류장,7.7,518.6597198052989,370.4712284323564
공차SSG푸드마켓,카페,강남구,11680656,도곡2동,1168011800,도곡동,서울특별시 강남구 도곡동 467-17,서울특별시 강남구 언주로30길 57,1,127.0551237,37.48984069,도곡,지하철역,2.5,166.00964218332174,118.57831584522982
과일에반하다프루타,카페,강남구,11680590,삼성2동,1168010500,삼성동,서울특별시 강남구 삼성동 48-13,서울특별시 강남구 선릉로112길 87,1,127.0504921,37.51321485,삼성중앙역.플래티넘아파트,버스정류장,2.2,146.51052364927108,104.65037403519364
구드마리,빵/도넛,강남구,11680545,압구정동,1168010700,신사동,서울특별시 강남구 신사동 595-10,서울특별시 강남구 논현로164길 27,1,127.0305776,37.52316876,압구정역4번출구,버스정류장,7.4,498.8198143994494,356.2998674281782
구름커피,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 627,서울특별시 강남구 테헤란로25길 59,1,127.034155,37.50430977,언주,지하철역,7.0,470.1094382810474,335.7924559150339
구스베이커리,빵/도넛,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 639-14,서울특별시 강남구 논현로95길 28,1,127.0337695,37.50204835,역삼역,버스정류장,4.3,287.67415242177555,205.4815374441254
구테로이테,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 617-1,서울특별시 강남구 봉은사로6길 29,1,127.0275272,37.50312217,신논현역.구교보타워사거리,버스정류장,3.6,240.75138688630093,171.96527634735781
그래커피,카페,강남구,11680630,대치4동,1168010600,대치동,서울특별시 강남구 대치동 899-2,서울특별시 강남구 선릉로82길 20,1,127.0516272,37.50266359,선릉역,버스정류장,5.2,345.9615111631966,247.115365116569
꼬마1,카페,강남구,11680565,청담동,1168010400,청담동,서울특별시 강남구 청담동 7-1,서울특별시 강남구 도산대로78길 11,1,127.0470937,37.5231363,엠네트음악방송국,버스정류장,6.1,406.7094417755464,290.5067441253903
꼬모윤,빵/도넛,강남구,11680545,압구정동,1168011000,압구정동,서울특별시 강남구 압구정동 494,서울특별시 강남구 압구정로 343,,127.0400489,37.52848184,한양아파트.압구정로데오역,버스정류장,1.0,68.59372245845783,48.9955160417556
누아주베이커리,빵/도넛,강남구,11680545,압구정동,1168010700,신사동,서울특별시 강남구 신사동 615,서울특별시 강남구 압구정로 214,1,127.0307379,37.52799809,압구정,지하철역,5.6,377.99826919914534,269.99876371367526
달콤한인생,빵/도넛,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 741-7,서울특별시 강남구 테헤란로14길 31,1,127.0339483,37.49733604,역삼역,버스정류장,7.5,502.1113158532167,358.6509398951548
대치동제빵소베이커리까페,빵/도넛,강남구,11680630,대치4동,1168010600,대치동,서울특별시 강남구 대치동 901-31,서울특별시 강남구 삼성로75길 40,,127.0549183,37.50277023,선릉역,버스정류장,9.3,623.2718733745983,445.19419526757025
대치은마사거리,카페,강남구,11680630,대치4동,1168010600,대치동,서울특별시 강남구 대치동 941-19,서울특별시 강남구 도곡로 457,,127.0601742,37.49900147,은마파출소,버스정류장,3.2,212.7228562641257,151.94489733151838
대한불교조계종봉은사서래원,빵/도넛,강남구,11680580,삼성1동,1168010500,삼성동,서울특별시 강남구 삼성동 73,서울특별시 강남구 봉은사로 531,,127.0577331,37.51582444,봉은사역3번출구.삼성1파출소,버스정류장,4.7,312.7560690406673,223.3971921719052
도너츠윤,빵/도넛,강남구,11680545,압구정동,1168010700,신사동,서울특별시 강남구 신사동 613-15,서울특별시 강남구 논현로176길 28,1,127.0306246,37.52750257,압구정,지하철역,4.7,318.24895290799293,227.3206806485664
