시군구코드,업종코드,년도,업소일련번호,업종명,허가신고일,업소명,소재지도로명,소재지지번,영업장면적(㎡),영업자시작일,법인명,법인번호,소재지시작일,행정동명,폐업일자,폐업구분,폐업사유,업태명,지상_부터,지상_까지,지하_부터,지하_까지,총층수,교육수료일자,모범음식점여부,급수시설,업소위치,종업원남,종업원여,급식소종류,평균급식인원수,최대급식인원수,1일급식인원수,일인당평균급식비,운영형태,영업장조리장면적(㎡),영업장객실면적(㎡),영업장무도장면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡),타업소공동화장실면적(㎡),영업장탈의실면적(㎡),영업장객석면적(㎡),작업장면적(㎡),검사실면적(㎡),진열(판매)대면적(㎡),창고(보관소)면적(㎡),허가(신고)번호,조건부허가시작일,조건부허가종료일,내외국인구분,국적
3160000,104,2025,161,휴게음식점,20251107,남현뜰,"서울특별시 구로구 경인로 346, 남현교회 1층 (개봉동)",서울특별시 구로구 개봉동  170번지 18호  남현교회,,20251107,,,20251107,개봉제1동,,,,커피숍,,,,,,,비대상,,,,,,,,,,,,,,19.97,,,,,,,,,3160000-104-2025-00161,,,내국인,대한민국
3100000,104,2025,209,휴게음식점,20251107,우지커피 수락산역점,"서울특별시 노원구 동일로242길 14, 1층 102호 (상계동)",서울특별시 노원구 상계동  1119번지 51호  ,,20251107,,,20251107,상계1동,,,,커피숍,,,,,,,비대상,,지상,,,,,,,,,13.0,,,10.0,,,,40.0,,,,,3100000-104-2025-00209,,,내국인,대한민국
3230000,104,2025,415,휴게음식점,20251107,백미당 가락본동점,"서울특별시 송파구 송파대로28길 35, 1층 106호 (가락동, 송파 N-Suite)",서울특별시 송파구 가락동  77번지 7호  송파 N-Suite,,20251107,백미당아이앤씨 주식회사,1301111203213.0,20251107,가락본동,,,,커피숍,,,,,,,비대상,,지상,,,,,,,,,58.5,,,,,,,,,,,,3230000-104-2025-00415,,,내국인,대한민국
3160000,104,2025,162,휴게음식점,20251107,기기커피 고척시장점,"서울특별시 구로구 경인로47길 107, 104호 (고척동)",서울특별시 구로구 고척동  51번지 18호  ,,20251107,,,20251107,고척제1동,,,,커피숍,,,,,,,비대상,,지상,,,,,,,,,,,,43.74,,,,,,,,,3160000-104-2025-00162,,,내국인,대한민국
3030000,104,2025,131,휴게음식점,20251107,카페올리비아,"서울특별시 성동구 자동차시장길 49, 서울새활용플라자 3층 (용답동)",서울특별시 성동구 용답동  250번지 14호  서울새활용플라자,,20251107,,,20251107,용답동,,,,커피숍,,,,,,,비대상,,지상2층이상,,,,,,,,,140.31,,,,,,,,,,,,3030000-104-2025-00131,,,내국인,대한민국
3140000,121,2025,30,제과점영업,20251107,파리크라상 목동현대백화점,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동  916번지  현대하이페리온,,20251107,주식회사 파리크라상,1101110508311.0,20251107,목1동,,,,제과점영업,,,,,,,비대상,,지하,,,,,,,,,,,,249.18,,,,,,,,,3140000-121-2025-00030,,,내국인,대한민국
3040000,104,2025,176,휴게음식점,20251107,카페나리랑,"서울특별시 광진구 능동로 320, 1층 (중곡동)",서울특별시 광진구 중곡동  158번지 24호  ,,20251107,,,20251107,중곡제2동,,,,커피숍,1.0,1.0,,,,,비대상,,지상,,,,,,,,,13.0,,,,,,,13.27,,,,,3040000-104-2025-00176,,,내국인,대한민국
3020000,104,2025,205,휴게음식점,20251107,애호가,"서울특별시 용산구 장문로6길 19, 지하1층 (동빙고동)",서울특별시 용산구 동빙고동  310번지 15호  ,,20251107,바른컴퍼니,1401110002961.0,20251107,서빙고동,,,,커피숍,,,1.0,1.0,,,비대상,,지하,,,,,,,,,16.0,,,,,5.0,,44.23,,,,,3020000-104-2025-00205,,,내국인,대한민국
3060000,104,2025,124,휴게음식점,20251107,디저트39 중랑구청점,"서울특별시 중랑구 봉화산로 218, 1층 (신내동)",서울특별시 중랑구 신내동  613번지 8호  ,,20251107,,,20251107,신내1동,,,,커피숍,1.0,1.0,,,,,비대상,,지상,,,,,,,,,,,,63.29,,,,,,,,,3060000-104-2025-00124,,,내국인,대한민국
3130000,104,2025,240,휴게음식점,20251107,사과당 망원점,"서울특별시 마포구 월드컵로13길 37, 1층 101호 (망원동)",서울특별시 마포구 망원동  382번지 1호  ,,20251107,,,20251107,망원제1동,,,,커피숍,1.0,1.0,,,,,비대상,,지상,,,,,,,,,,,,57.0,,,,,,,,,3130000-104-2025-00240,,,내국인,대한민국
3040000,104,2025,177,휴게음식점,20251107,선우로스터스,"서울특별시 광진구 동일로62길 17, 1층 (중곡동)",서울특별시 광진구 중곡동  633번지 5호  ,,20251107,,,20251107,중곡제1동,,,,커피숍,1.0,1.0,,,,,비대상,,지상,,,,,,,,,15.0,,,,,,,30.0,,,,,3040000-104-2025-00177,,,내국인,대한민국
3230000,104,2025,416,휴게음식점,20251107,텐퍼센트커피 송파문정로점,"서울특별시 송파구 문정로 145, 대정하우스빌딩 1층 (가락동)",서울특별시 송파구 가락동  180번지 8호  대정하우스빌딩,,20251107,주식회사 골드런리치,1244110397457.0,20251107,가락2동,,,,커피숍,,,,,,,비대상,,지상,,,,,,,,,54.77,,,,,,,,,,,,3230000-104-2025-00416,,,내국인,대한민국
3130000,104,2025,241,휴게음식점,20251107,메가엠지씨커피 홍대상상마당점,"서울특별시 마포구 어울마당로 53, 1층 (서교동)",서울특별시 마포구 서교동  403번지 15호  ,,20251107,,,20251107,서교동,,,,커피숍,1.0,1.0,,,,,비대상,,지상,,,,,,,,,,,,48.96,,,,,,,,,3130000-104-2025-00241,,,내국인,대한민국
3220000,104,2025,798,휴게음식점,20251107,카페 개봉(한시적),"서울특별시 강남구 남부순환로 3104, SETEC 지상1층 제2전시실 (대치동)",서울특별시 강남구 대치동  514번지  SETEC,,20251107,,,20251107,대치2동,,,,커피숍,,,,,,,비대상,,지상,,,,,,,,,,,,,,,,,,,,,3220000-104-2025-00798,20251118.0,20251118.0,내국인,대한민국
3000000,104,2025,129,휴게음식점,20251107,올드어스 커피,"서울특별시 종로구 종로 19, 르메이에르종로타운1 116-1호 (종로1가)",서울특별시 종로구 종로1가  24번지  르메이에르종로타운1-116-1,,20251107,,,20251107,종로1.2.3.4가동,,,,커피숍,1.0,1.0,,,,,비대상,,지상,,,,,,,,,10.0,,,,,,,8.26,,,,,3000000-104-2025-00129,,,내국인,대한민국
3180000,104,2025,413,휴게음식점,20251107,사과당 여의도점,"서울특별시 영등포구 여의나루로 42, 여의도종합상가 1층 111호 (여의도동)",서울특별시 영등포구 여의도동  35번지 5호  여의도종합상가,,20251107,,,20251107,여의동,,,,커피숍,,,,,,,비대상,,,,,,,,,,,22.0,,,,,,,25.74,,,,,3180000-104-2025-00413,,,내국인,대한민국
3190000,104,2025,115,휴게음식점,20251107,24시 무인카페 만월경 이수점,"서울특별시 동작구 사당로29가길 12, 1층 101호 (사당동)",서울특별시 동작구 사당동  141번지 228호  ,,20251107,,,20251107,사당제2동,,,,커피숍,1.0,1.0,,,,,비대상,상수도전용,지상,,,,,,,,,,,,29.1,,,,,,,,,3190000-104-2025-00115,,,내국인,대한민국
3150000,104,2025,283,휴게음식점,20251107,스탠브루 마곡점,"서울특별시 강서구 마곡중앙1로 26, 엠리체 105, 106호 (마곡동)",서울특별시 강서구 마곡동  798번지 12호  엠리체,,20251107,롯데지알에스 주식회사,1101110262850.0,20251107,발산제1동,,,,커피숍,1.0,1.0,,,11.0,,비대상,상수도전용,지상,,,,,,,,,10.0,,,,,,,76.54,,,,,3150000-104-2025-00283,,,내국인,대한민국
3000000,104,2025,127,휴게음식점,20251106,츄 츄(chu chu),"서울특별시 종로구 자하문로15길 17, 1층 (통인동)",서울특별시 종로구 통인동  22번지 1호  ,,20251106,,,20251106,청운효자동,,,,커피숍,,,,,,,비대상,,,,,,,,,,,20.0,,,,,,,,,,,,3000000-104-2025-00127,,,내국인,대한민국
